IF1206 	20120611 	1 	1 	国泰君安 	1853 	-971 	0001 	IF 	
IF1206 	20120611 	2 	1 	国泰君安 	2705 	214 	0001 	IF 	
IF1206 	20120611 	0 	2 	国泰君安 	54503 	-12746 	0001 	IF 	
IF1206 	20120611 	1 	2 	银河期货 	1730 	-164 	0109 	IF 	
IF1206 	20120611 	2 	2 	华泰长城 	2651 	-181 	0011 	IF 	
IF1206 	20120611 	0 	3 	华泰长城 	53132 	-5944 	0011 	IF 	
IF1206 	20120611 	1 	3 	华泰长城 	1720 	27 	0011 	IF 	
IF1206 	20120611 	2 	3 	中证期货 	2223 	-683 	0018 	IF 	
IF1206 	20120611 	0 	4 	广发期货 	46332 	-14585 	0016 	IF 	
IF1206 	20120611 	1 	4 	广发期货 	1541 	-189 	0016 	IF 	
IF1206 	20120611 	2 	4 	申银万国 	1962 	132 	0131 	IF 	
IF1206 	20120611 	0 	5 	兴业期货 	42773 	-16160 	0102 	IF 	
IF1206 	20120611 	1 	5 	中证期货 	1474 	-257 	0018 	IF 	
IF1206 	20120611 	2 	5 	光大期货 	1922 	-440 	0007 	IF 	
IF1206 	20120611 	0 	6 	鲁证期货 	28649 	-1018 	0006 	IF 	
IF1206 	20120611 	1 	6 	海通期货 	1304 	81 	0133 	IF 	
IF1206 	20120611 	2 	6 	海通期货 	1339 	-187 	0133 	IF 	
IF1206 	20120611 	0 	7 	申银万国 	24562 	-884 	0131 	IF 	
IF1206 	20120611 	1 	7 	光大期货 	1292 	-375 	0007 	IF 	
IF1206 	20120611 	2 	7 	国信期货 	1101 	138 	0113 	IF 	
IF1206 	20120611 	0 	8 	南华期货 	19625 	-4836 	0002 	IF 	
IF1206 	20120611 	1 	8 	上海东证 	1283 	205 	0156 	IF 	
IF1206 	20120611 	2 	8 	广发期货 	1038 	-149 	0016 	IF 	
IF1206 	20120611 	0 	9 	中证期货 	19484 	-4929 	0018 	IF 	
IF1206 	20120611 	1 	9 	申银万国 	1173 	60 	0131 	IF 	
IF1206 	20120611 	2 	9 	中粮期货 	902 	344 	0010 	IF 	
IF1206 	20120611 	0 	10 	光大期货 	18557 	-7882 	0007 	IF 	
IF1206 	20120611 	1 	10 	鲁证期货 	1160 	-208 	0006 	IF 	
IF1206 	20120611 	2 	10 	南华期货 	803 	-465 	0002 	IF 	
IF1206 	20120611 	0 	11 	银河期货 	18523 	-1687 	0109 	IF 	
IF1206 	20120611 	1 	11 	南华期货 	1116 	-318 	0002 	IF 	
IF1206 	20120611 	2 	11 	鲁证期货 	784 	-7 	0006 	IF 	
IF1206 	20120611 	0 	12 	天琪期货 	18257 	-1283 	0168 	IF 	
IF1206 	20120611 	1 	12 	浙商期货 	636 	-204 	0009 	IF 	
IF1206 	20120611 	2 	12 	银河期货 	717 	-241 	0109 	IF 	
IF1206 	20120611 	0 	13 	上海东证 	15690 	-1007 	0156 	IF 	
IF1206 	20120611 	1 	13 	浙江永安 	626 	-275 	0003 	IF 	
IF1206 	20120611 	2 	13 	招商期货 	686 	-407 	0136 	IF 	
IF1206 	20120611 	0 	14 	瑞达期货 	15660 	-3121 	0170 	IF 	
IF1206 	20120611 	1 	14 	国信期货 	623 	-303 	0113 	IF 	
IF1206 	20120611 	2 	14 	金瑞期货 	670 	-271 	0019 	IF 	
IF1206 	20120611 	0 	15 	渤海期货 	15074 	-1902 	0126 	IF 	
IF1206 	20120611 	1 	15 	格林期货 	613 	-48 	0106 	IF 	
IF1206 	20120611 	2 	15 	中信建投 	644 	130 	0115 	IF 	
IF1206 	20120611 	0 	16 	大华期货 	13802 	3744 	0145 	IF 	
IF1206 	20120611 	1 	16 	长江期货 	601 	-124 	0116 	IF 	
IF1206 	20120611 	2 	16 	大华期货 	635 	-836 	0145 	IF 	
IF1206 	20120611 	0 	17 	浙商期货 	13503 	-2799 	0009 	IF 	
IF1206 	20120611 	1 	17 	招商期货 	582 	-128 	0136 	IF 	
IF1206 	20120611 	2 	17 	浙商期货 	621 	91 	0009 	IF 	
IF1206 	20120611 	0 	18 	浙江永安 	12492 	-2808 	0003 	IF 	
IF1206 	20120611 	1 	18 	天琪期货 	579 	49 	0168 	IF 	
IF1206 	20120611 	2 	18 	上海东证 	479 	-61 	0156 	IF 	
IF1206 	20120611 	0 	19 	招商期货 	11727 	-4095 	0136 	IF 	
IF1206 	20120611 	1 	19 	金瑞期货 	490 	-52 	0019 	IF 	
IF1206 	20120611 	2 	19 	信达期货 	475 	-184 	0017 	IF 	
IF1206 	20120611 	0 	20 	中信建投 	10395 	-1541 	0115 	IF 	
IF1206 	20120611 	1 	20 	瑞达期货 	436 	-311 	0170 	IF 	
IF1206 	20120611 	2 	20 	兴业期货 	428 	-178 	0102 	IF 	
IF1207 	20120611 	0 	1 	华泰长城 	25869 	6440 	0011 	IF 	
IF1207 	20120611 	1 	1 	国泰君安 	2510 	467 	0001 	IF 	
IF1207 	20120611 	2 	1 	国泰君安 	5252 	741 	0001 	IF 	
IF1207 	20120611 	0 	2 	国泰君安 	8336 	5180 	0001 	IF 	
IF1207 	20120611 	1 	2 	海通期货 	1460 	211 	0133 	IF 	
IF1207 	20120611 	2 	2 	海通期货 	4403 	134 	0133 	IF 	
IF1207 	20120611 	0 	3 	光大期货 	5856 	2683 	0007 	IF 	
IF1207 	20120611 	1 	3 	华泰长城 	1360 	57 	0011 	IF 	
IF1207 	20120611 	2 	3 	光大期货 	3167 	263 	0007 	IF 	
IF1207 	20120611 	0 	4 	申银万国 	5755 	2399 	0131 	IF 	
